epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1983.82,0.95928,5.07757,0.92797,0.30331,0.45774,0.32828,0.2554,0.78695,1.98179,0.8931,0.00332809,0.00332809,0.00332809
2,2060.72,0.9202,3.2652,0.93814,0.70654,0.66037,0.74136,0.58961,0.78177,1.25787,0.92476,0.00659548,0.00659548,0.00659548
3,2136.32,0.94159,2.25381,0.98241,0.77023,0.67311,0.7722,0.61267,0.79046,1.18468,0.97431,0.00979686,0.00979686,0.00979686
4,2211.59,0.92258,1.48878,1.0121,0.84401,0.72547,0.84256,0.67267,0.76787,0.94418,0.97267,0.009703,0.009703,0.009703
5,2286.58,0.84734,1.06058,0.98397,0.91035,0.76719,0.87063,0.7215,0.68786,0.74667,0.94851,0.009604,0.009604,0.009604
6,2362.03,0.78842,0.88847,0.96462,0.91593,0.82834,0.91066,0.76925,0.6127,0.63018,0.91306,0.009505,0.009505,0.009505
7,2437.31,0.7761,0.81079,0.96536,0.9389,0.83957,0.91754,0.76631,0.62291,0.57556,0.91993,0.009406,0.009406,0.009406
8,2512.51,0.74042,0.74064,0.94729,0.92814,0.87325,0.93329,0.80084,0.56214,0.50415,0.89585,0.009307,0.009307,0.009307
9,2587.49,0.71438,0.6803,0.93884,0.94607,0.8698,0.93717,0.80277,0.55277,0.48811,0.88841,0.009208,0.009208,0.009208
10,2662.26,0.69452,0.64009,0.9309,0.95909,0.88,0.94504,0.81511,0.53117,0.43847,0.87507,0.009109,0.009109,0.009109
11,2737.58,0.67855,0.61576,0.92528,0.94054,0.88277,0.94441,0.82208,0.50445,0.44753,0.869,0.00901,0.00901,0.00901
12,2812.69,0.66805,0.59203,0.9224,0.9631,0.89269,0.9501,0.82858,0.50462,0.40953,0.87022,0.008911,0.008911,0.008911
13,2887.5,0.65213,0.56901,0.91349,0.95898,0.88401,0.94549,0.82712,0.50081,0.41761,0.86819,0.008812,0.008812,0.008812
14,2962.68,0.64681,0.5518,0.91068,0.96996,0.9121,0.95755,0.84269,0.48435,0.37465,0.86143,0.008713,0.008713,0.008713
15,3037.49,0.63371,0.53257,0.91135,0.96787,0.91261,0.95853,0.84181,0.48388,0.37591,0.86334,0.008614,0.008614,0.008614
16,3112.02,0.62806,0.52363,0.90741,0.96846,0.92012,0.96379,0.85142,0.46857,0.34983,0.85532,0.008515,0.008515,0.008515
17,3187.17,0.62662,0.5224,0.90414,0.97332,0.9273,0.96528,0.85765,0.45344,0.34158,0.85025,0.008416,0.008416,0.008416
18,3261.81,0.61418,0.5071,0.9028,0.97251,0.92406,0.96492,0.85934,0.44114,0.33085,0.84751,0.008317,0.008317,0.008317
19,3336.6,0.61063,0.50459,0.90261,0.97696,0.92182,0.96726,0.86372,0.44344,0.32795,0.84435,0.008218,0.008218,0.008218
20,3411.74,0.6047,0.49361,0.89865,0.97129,0.92863,0.96678,0.86344,0.44298,0.31446,0.84834,0.008119,0.008119,0.008119
21,3486.47,0.59327,0.46923,0.89457,0.97782,0.94317,0.97236,0.86643,0.43852,0.3039,0.84404,0.00802,0.00802,0.00802
22,3561.45,0.5843,0.46714,0.89187,0.97877,0.93973,0.97136,0.87124,0.4257,0.30047,0.83986,0.007921,0.007921,0.007921
23,3636.08,0.58043,0.463,0.88988,0.97222,0.94494,0.973,0.87562,0.41119,0.29341,0.83725,0.007822,0.007822,0.007822
24,3711.07,0.57532,0.45085,0.88867,0.97468,0.9464,0.9734,0.87718,0.41134,0.28637,0.83508,0.007723,0.007723,0.007723
25,3785.95,0.57353,0.44748,0.88663,0.98063,0.94225,0.97408,0.87859,0.40821,0.28294,0.83369,0.007624,0.007624,0.007624
26,3860.85,0.56959,0.44418,0.88669,0.98517,0.94553,0.97579,0.88285,0.39917,0.2735,0.8326,0.007525,0.007525,0.007525
27,3936.32,0.5609,0.42895,0.88131,0.9789,0.94736,0.97589,0.88698,0.3942,0.27042,0.83017,0.007426,0.007426,0.007426
28,4011.57,0.54862,0.41776,0.87991,0.98188,0.95049,0.97582,0.89415,0.37409,0.25979,0.82474,0.007327,0.007327,0.007327
29,4086.59,0.55035,0.41806,0.88242,0.98415,0.95073,0.97864,0.89239,0.38663,0.26112,0.82722,0.007228,0.007228,0.007228
30,4161.68,0.54951,0.41814,0.87828,0.9867,0.94931,0.97704,0.89131,0.37598,0.25806,0.82305,0.007129,0.007129,0.007129
31,4236.46,0.54192,0.41557,0.87654,0.9867,0.95013,0.97805,0.88718,0.39711,0.25998,0.82707,0.00703,0.00703,0.00703
32,4311.16,0.53636,0.40411,0.87493,0.9806,0.957,0.97989,0.89441,0.38028,0.25426,0.82419,0.006931,0.006931,0.006931
33,4386.29,0.53342,0.40766,0.87698,0.98916,0.95219,0.98023,0.89448,0.38145,0.25157,0.82369,0.006832,0.006832,0.006832
34,4461.28,0.52812,0.3997,0.87433,0.99116,0.95291,0.98003,0.90218,0.3633,0.24116,0.82041,0.006733,0.006733,0.006733
35,4536.1,0.52997,0.40002,0.87599,0.98386,0.96354,0.98187,0.90703,0.35022,0.23871,0.81679,0.006634,0.006634,0.006634
36,4611.22,0.51927,0.38789,0.87122,0.99133,0.95924,0.98233,0.90256,0.36301,0.23689,0.81947,0.006535,0.006535,0.006535
37,4686.18,0.51848,0.38231,0.86716,0.99036,0.95708,0.98282,0.91038,0.34293,0.23093,0.81406,0.006436,0.006436,0.006436
38,4760.45,0.51735,0.384,0.86845,0.98896,0.96014,0.98185,0.91068,0.34478,0.23003,0.81473,0.006337,0.006337,0.006337
39,4835.44,0.51235,0.38156,0.8689,0.99035,0.96262,0.98309,0.90843,0.34692,0.22998,0.81539,0.006238,0.006238,0.006238
40,4910.47,0.50644,0.37404,0.86323,0.98742,0.96493,0.98227,0.91276,0.33917,0.22586,0.81294,0.006139,0.006139,0.006139
41,4985.73,0.50479,0.37087,0.86355,0.98998,0.96192,0.98343,0.91238,0.34219,0.22529,0.81292,0.00604,0.00604,0.00604
42,5060.73,0.50662,0.37804,0.86375,0.98678,0.9685,0.98395,0.91435,0.33587,0.22412,0.81154,0.005941,0.005941,0.005941
43,5135.66,0.50094,0.36316,0.86497,0.98515,0.96786,0.98439,0.91671,0.33202,0.2209,0.81113,0.005842,0.005842,0.005842
44,5210.59,0.50137,0.366,0.86433,0.9928,0.9647,0.98418,0.91793,0.32909,0.21839,0.80941,0.005743,0.005743,0.005743
45,5285.41,0.49457,0.36336,0.86124,0.99029,0.96862,0.98517,0.91804,0.32533,0.21662,0.80782,0.005644,0.005644,0.005644
46,5360.58,0.49234,0.36134,0.85881,0.99221,0.96576,0.98529,0.92093,0.32412,0.21609,0.80762,0.005545,0.005545,0.005545
47,5435.4,0.48806,0.35709,0.85576,0.98744,0.97176,0.98464,0.92283,0.32146,0.21409,0.80612,0.005446,0.005446,0.005446
48,5510.42,0.483,0.35239,0.85447,0.99054,0.96709,0.98512,0.92194,0.31721,0.21213,0.80609,0.005347,0.005347,0.005347
49,5585.09,0.48486,0.35048,0.85766,0.9905,0.97058,0.98551,0.92571,0.31078,0.20881,0.80424,0.005248,0.005248,0.005248
50,5660.43,0.48047,0.3481,0.85489,0.99238,0.97097,0.98574,0.92202,0.32225,0.21142,0.80546,0.005149,0.005149,0.005149
51,5735.36,0.47506,0.3436,0.85326,0.9941,0.97059,0.9864,0.92613,0.31251,0.20562,0.80304,0.00505,0.00505,0.00505
52,5810.3,0.47197,0.34424,0.85232,0.99142,0.97527,0.98621,0.9276,0.30576,0.20378,0.8015,0.004951,0.004951,0.004951
53,5885.55,0.47078,0.33862,0.85501,0.98586,0.9781,0.98629,0.92857,0.30684,0.20166,0.80207,0.004852,0.004852,0.004852
54,5960.25,0.46904,0.33229,0.84945,0.99213,0.97372,0.98681,0.93008,0.3018,0.20054,0.80073,0.004753,0.004753,0.004753
