epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1819.92,3.21893,10.036,4.14453,0.09628,0.04347,0.00265,0.00095,2.53725,8.25864,3.49735,0.00332809,0.00332809,0.00332809
2,1955.86,2.01338,6.75038,2.38223,0.20783,0.09931,0.05265,0.03257,1.56095,3.44594,2.00597,0.00659548,0.00659548,0.00659548
3,2089.81,1.44769,4.57483,1.69676,0.14982,0.36307,0.13589,0.10011,1.14114,3.41847,1.5153,0.00979686,0.00979686,0.00979686
4,2222.68,1.22999,3.09772,1.46172,0.21579,0.50375,0.24486,0.18196,0.98182,2.30797,1.32537,0.009703,0.009703,0.009703
5,2355.49,1.13311,2.46846,1.37169,0.32355,0.48516,0.35476,0.27393,0.90302,1.99636,1.26906,0.009604,0.009604,0.009604
6,2487.69,1.06986,2.17169,1.3263,0.44105,0.49214,0.47265,0.37143,0.84796,1.72218,1.2349,0.009505,0.009505,0.009505
7,2620.23,1.02952,1.94147,1.30337,0.52888,0.54494,0.55268,0.43385,0.84096,1.5955,1.23059,0.009406,0.009406,0.009406
8,2752.61,0.99594,1.76985,1.27966,0.6388,0.59512,0.65514,0.52084,0.80064,1.38806,1.20824,0.009307,0.009307,0.009307
9,2885.26,0.95629,1.61986,1.25593,0.687,0.58543,0.693,0.55785,0.75968,1.31264,1.19559,0.009208,0.009208,0.009208
10,3017.72,0.93541,1.49895,1.24036,0.72183,0.6417,0.74416,0.59758,0.76918,1.17316,1.18996,0.009109,0.009109,0.009109
11,3149.97,0.91631,1.40278,1.2342,0.74476,0.70636,0.79321,0.64794,0.72924,1.03979,1.16605,0.00901,0.00901,0.00901
12,3282.21,0.89704,1.32507,1.22034,0.80318,0.73072,0.82214,0.66939,0.7208,0.97707,1.15794,0.008911,0.008911,0.008911
13,3414.79,0.88224,1.25554,1.21128,0.80726,0.72052,0.82985,0.68091,0.7124,0.96086,1.15797,0.008812,0.008812,0.008812
14,3547.02,0.8584,1.19226,1.18791,0.84104,0.7366,0.84674,0.70005,0.6908,0.91259,1.14043,0.008713,0.008713,0.008713
15,3679.16,0.84636,1.15278,1.18211,0.85511,0.77912,0.87273,0.73522,0.6359,0.82567,1.08941,0.008614,0.008614,0.008614
16,3811.24,0.8269,1.10793,1.16757,0.86859,0.79579,0.88354,0.74314,0.64369,0.80786,1.09158,0.008515,0.008515,0.008515
17,3943.3,0.8139,1.0808,1.15601,0.87322,0.81012,0.90009,0.7641,0.61531,0.76815,1.06823,0.008416,0.008416,0.008416
18,4075.7,0.80342,1.04712,1.15094,0.89518,0.81793,0.90582,0.77278,0.61086,0.72725,1.07142,0.008317,0.008317,0.008317
19,4207.9,0.80197,1.03379,1.15072,0.8899,0.8289,0.91092,0.77313,0.61114,0.71247,1.05952,0.008218,0.008218,0.008218
20,4340.18,0.79137,0.99678,1.13706,0.90196,0.84176,0.92045,0.79017,0.59173,0.68766,1.04875,0.008119,0.008119,0.008119
21,4472.24,0.7748,0.95826,1.12888,0.91751,0.83411,0.9265,0.79739,0.57521,0.66264,1.04273,0.00802,0.00802,0.00802
22,4604.45,0.76322,0.93899,1.12061,0.93205,0.84405,0.93715,0.81262,0.55789,0.63904,1.02275,0.007921,0.007921,0.007921
23,4736.82,0.7665,0.92829,1.11646,0.93127,0.85597,0.93719,0.81201,0.55525,0.62506,1.02345,0.007822,0.007822,0.007822
24,4868.44,0.7502,0.9001,1.10475,0.92679,0.87579,0.94356,0.82069,0.53909,0.59612,1.01094,0.007723,0.007723,0.007723
25,5000.67,0.74491,0.8948,1.10267,0.93057,0.8778,0.94628,0.82718,0.53394,0.59442,1.0062,0.007624,0.007624,0.007624
26,5133.03,0.74088,0.87873,1.10154,0.93849,0.87471,0.94912,0.8302,0.53451,0.58272,1.00496,0.007525,0.007525,0.007525
27,5265.28,0.73015,0.84426,1.09185,0.9453,0.88295,0.95336,0.84006,0.5161,0.55602,0.993,0.007426,0.007426,0.007426
28,5397.58,0.72158,0.83291,1.08847,0.94331,0.89162,0.95661,0.84323,0.50714,0.55324,0.98195,0.007327,0.007327,0.007327
29,5529.63,0.71858,0.83174,1.08419,0.94431,0.89583,0.95719,0.84462,0.50758,0.54175,0.98621,0.007228,0.007228,0.007228
