epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1119.35,3.06265,8.73755,3.30574,0.1329,0.25201,0.06071,0.03887,1.56265,3.80659,1.73602,0.00332809,0.00332809,0.00332809
2,1195.57,1.4256,4.30194,1.49485,0.18083,0.31514,0.16493,0.11843,1.14456,2.46991,1.27235,0.00659548,0.00659548,0.00659548
3,1270.89,1.20128,3.21505,1.25242,0.34671,0.46734,0.34279,0.26089,0.98506,2.21885,1.1177,0.00979686,0.00979686,0.00979686
4,1345.8,1.05364,2.19009,1.13852,0.58201,0.54208,0.54314,0.42937,0.84746,1.43113,1.03724,0.009703,0.009703,0.009703
5,1420.55,0.95781,1.59407,1.07582,0.69902,0.62595,0.70616,0.57025,0.78469,1.11615,1.00829,0.009604,0.009604,0.009604
6,1494.85,0.90735,1.29426,1.05141,0.80924,0.66485,0.77774,0.63045,0.74607,0.96128,0.97412,0.009505,0.009505,0.009505
7,1569.41,0.85299,1.09741,1.02425,0.87674,0.73973,0.84083,0.69691,0.67446,0.7697,0.94192,0.009406,0.009406,0.009406
8,1643.91,0.81088,0.97369,1.00285,0.90332,0.75786,0.86448,0.71562,0.67095,0.67108,0.94182,0.009307,0.009307,0.009307
9,1718.88,0.77937,0.88346,0.98017,0.93532,0.79088,0.88854,0.75225,0.6067,0.61443,0.91304,0.009208,0.009208,0.009208
10,1793.46,0.74626,0.81063,0.96401,0.92103,0.80968,0.89711,0.75602,0.59891,0.58097,0.90084,0.009109,0.009109,0.009109
11,1867.94,0.72955,0.76874,0.96066,0.92912,0.81595,0.90274,0.77474,0.56713,0.54622,0.89195,0.00901,0.00901,0.00901
12,1942.98,0.71409,0.73297,0.94668,0.94953,0.83501,0.9222,0.79285,0.55153,0.5025,0.88186,0.008911,0.008911,0.008911
13,2017.62,0.6908,0.69752,0.93475,0.9373,0.83966,0.92158,0.79822,0.53149,0.49499,0.87797,0.008812,0.008812,0.008812
14,2092.12,0.67942,0.67364,0.9324,0.96233,0.85921,0.93618,0.81004,0.52007,0.44667,0.87069,0.008713,0.008713,0.008713
15,2166.5,0.66744,0.65327,0.92888,0.95382,0.8698,0.93776,0.81489,0.51859,0.44304,0.87607,0.008614,0.008614,0.008614
16,2241.35,0.65054,0.63041,0.92614,0.9566,0.87462,0.9404,0.82078,0.49318,0.4263,0.86224,0.008515,0.008515,0.008515
17,2316.01,0.6425,0.61554,0.91936,0.9592,0.88138,0.94647,0.83298,0.47484,0.40056,0.85607,0.008416,0.008416,0.008416
18,2390.43,0.62747,0.59624,0.91468,0.96371,0.88897,0.94926,0.83464,0.47178,0.39064,0.85661,0.008317,0.008317,0.008317
19,2464.88,0.62283,0.58653,0.91141,0.97183,0.89327,0.95221,0.84087,0.46044,0.37517,0.85076,0.008218,0.008218,0.008218
20,2539.8,0.60699,0.56378,0.90473,0.97531,0.8961,0.95264,0.84351,0.44736,0.36951,0.84758,0.008119,0.008119,0.008119
21,2613.91,0.59898,0.54934,0.89977,0.97584,0.90672,0.95934,0.8544,0.43479,0.35033,0.84307,0.00802,0.00802,0.00802
22,2688.27,0.59206,0.54562,0.90584,0.96586,0.91557,0.95971,0.85553,0.43294,0.34907,0.84027,0.007921,0.007921,0.007921
23,2762.7,0.57884,0.52864,0.89763,0.96903,0.92073,0.96374,0.86761,0.41053,0.32805,0.83445,0.007822,0.007822,0.007822
24,2837.46,0.57163,0.52709,0.89541,0.97587,0.91922,0.96255,0.86766,0.40715,0.32022,0.83356,0.007723,0.007723,0.007723
25,2911.97,0.56728,0.52213,0.89221,0.97475,0.91896,0.96535,0.86864,0.41212,0.32361,0.83551,0.007624,0.007624,0.007624
26,2986.7,0.5611,0.50819,0.88899,0.98279,0.92103,0.96752,0.87401,0.39977,0.30911,0.83056,0.007525,0.007525,0.007525
27,3061.45,0.55353,0.4997,0.8884,0.97461,0.9231,0.96738,0.87532,0.39185,0.30267,0.82777,0.007426,0.007426,0.007426
