epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1123.36,3.06265,8.73755,3.30574,0.1329,0.25201,0.06071,0.03887,1.56265,3.80659,1.73602,0.00332809,0.00332809,0.00332809
2,1199.86,1.42983,4.31639,1.49545,0.18855,0.40435,0.16156,0.11516,1.1607,2.59126,1.23849,0.00660647,0.00660647,0.00660647
3,1275.03,1.19964,3.19125,1.24893,0.40306,0.42656,0.37941,0.28828,0.97197,1.85495,1.11686,0.00982985,0.00982985,0.00982985
4,1349.51,1.0582,2.16691,1.14197,0.58699,0.54427,0.55984,0.44549,0.86516,1.41415,1.04339,0.0097525,0.0097525,0.0097525
5,1424.17,0.95804,1.57144,1.07696,0.70615,0.58382,0.68028,0.54754,0.77995,1.14257,1.00649,0.00967,0.00967,0.00967
6,1498.92,0.90365,1.2816,1.05154,0.82948,0.67448,0.77835,0.62885,0.76705,0.91744,0.98802,0.0095875,0.0095875,0.0095875
7,1573.82,0.84946,1.08834,1.02384,0.86637,0.72446,0.8332,0.69297,0.68287,0.79814,0.94103,0.009505,0.009505,0.009505
8,1649.12,0.8035,0.96039,1.00229,0.91428,0.76165,0.86526,0.71988,0.66525,0.68217,0.9405,0.0094225,0.0094225,0.0094225
9,1723.79,0.77399,0.87075,0.98135,0.93178,0.7921,0.88532,0.74645,0.62173,0.60223,0.91899,0.00934,0.00934,0.00934
10,1798.52,0.74583,0.80577,0.96823,0.92251,0.81555,0.90042,0.76,0.60192,0.5753,0.90245,0.0092575,0.0092575,0.0092575
11,1872.78,0.73805,0.77228,0.96458,0.93341,0.81761,0.90163,0.7775,0.55757,0.5455,0.89125,0.009175,0.009175,0.009175
12,1947.58,0.7166,0.72582,0.94997,0.94493,0.85357,0.92446,0.79591,0.53927,0.49066,0.87903,0.0090925,0.0090925,0.0090925
13,2022.73,0.69299,0.70063,0.93725,0.95284,0.8376,0.92576,0.80266,0.53223,0.48251,0.87691,0.00901,0.00901,0.00901
14,2097.8,0.682,0.6762,0.93585,0.96245,0.85349,0.93492,0.8078,0.52642,0.45063,0.87822,0.0089275,0.0089275,0.0089275
15,2173.33,0.66675,0.65267,0.92891,0.96029,0.84957,0.93282,0.81267,0.50665,0.44263,0.86901,0.008845,0.008845,0.008845
16,2248.3,0.65521,0.63454,0.92764,0.95569,0.88171,0.93934,0.82445,0.48622,0.41788,0.86176,0.0087625,0.0087625,0.0087625
17,2323.75,0.64139,0.61457,0.92075,0.96005,0.87992,0.94318,0.83074,0.47304,0.40286,0.85709,0.00868,0.00868,0.00868
18,2399.2,0.6335,0.599,0.91703,0.96232,0.89088,0.94954,0.8382,0.46243,0.38616,0.85206,0.0085975,0.0085975,0.0085975
19,2474.55,0.6251,0.58497,0.91319,0.96691,0.89735,0.95315,0.84453,0.45194,0.37306,0.8474,0.008515,0.008515,0.008515
20,2549.4,0.60609,0.56135,0.90392,0.97075,0.90001,0.95466,0.84854,0.44885,0.36339,0.84885,0.0084325,0.0084325,0.0084325
21,2624.43,0.59516,0.54817,0.90059,0.96786,0.90756,0.95609,0.8504,0.44041,0.35793,0.84371,0.00835,0.00835,0.00835
22,2699.69,0.59479,0.54852,0.90753,0.96165,0.91482,0.95866,0.85745,0.43154,0.34606,0.84285,0.0082675,0.0082675,0.0082675
23,2775.01,0.58464,0.53434,0.90003,0.97619,0.91994,0.96279,0.86182,0.4234,0.33081,0.83707,0.008185,0.008185,0.008185
24,2849.74,0.57682,0.52821,0.89554,0.97149,0.91726,0.96413,0.86292,0.41603,0.33194,0.83453,0.0081025,0.0081025,0.0081025
25,2924.7,0.57387,0.52654,0.89516,0.97964,0.91434,0.96646,0.87067,0.40677,0.31909,0.83391,0.00802,0.00802,0.00802
26,2999.78,0.56623,0.51559,0.89207,0.97337,0.91767,0.96545,0.87218,0.39537,0.3157,0.83135,0.0079375,0.0079375,0.0079375
27,3074.68,0.56602,0.50785,0.89158,0.98355,0.92364,0.96717,0.87879,0.38918,0.30189,0.82839,0.007855,0.007855,0.007855
28,3149.15,0.5487,0.49068,0.8866,0.97537,0.93306,0.97025,0.87963,0.38941,0.29983,0.82776,0.0077725,0.0077725,0.0077725
29,3224.03,0.54456,0.48527,0.88542,0.98318,0.93365,0.97034,0.88379,0.38184,0.29081,0.82566,0.00769,0.00769,0.00769
30,3298.85,0.53685,0.47709,0.88323,0.98069,0.93798,0.97135,0.88589,0.37508,0.28427,0.82284,0.0076075,0.0076075,0.0076075
31,3373.76,0.53871,0.48008,0.88466,0.984,0.93565,0.97266,0.88694,0.36983,0.27965,0.82208,0.007525,0.007525,0.007525
32,3447.91,0.5292,0.46828,0.87772,0.98793,0.933,0.97273,0.88988,0.3666,0.27636,0.82171,0.0074425,0.0074425,0.0074425
33,3522.61,0.52491,0.4651,0.87492,0.98407,0.94194,0.9734,0.88868,0.36833,0.27269,0.82163,0.00736,0.00736,0.00736
34,3597.22,0.52006,0.45555,0.87507,0.98328,0.94849,0.97586,0.89488,0.35677,0.26602,0.81707,0.0072775,0.0072775,0.0072775
35,3671.57,0.517,0.45435,0.8759,0.9787,0.9444,0.97561,0.89662,0.34965,0.26517,0.81666,0.007195,0.007195,0.007195
36,3745.99,0.51675,0.45444,0.87603,0.98678,0.94423,0.97786,0.89932,0.3491,0.25679,0.81475,0.0071125,0.0071125,0.0071125
37,3820.54,0.50805,0.43942,0.86976,0.98547,0.94957,0.97714,0.9017,0.34512,0.25368,0.81482,0.00703,0.00703,0.00703
38,3895.07,0.50201,0.43402,0.86958,0.98244,0.95401,0.97844,0.90267,0.33904,0.24938,0.8129,0.0069475,0.0069475,0.0069475
39,3969.85,0.50078,0.43011,0.86768,0.98787,0.95238,0.97818,0.90172,0.33673,0.24588,0.81284,0.006865,0.006865,0.006865
40,4044.56,0.49484,0.43172,0.86618,0.99035,0.94884,0.97869,0.90471,0.33082,0.24228,0.81024,0.0067825,0.0067825,0.0067825
41,4119.05,0.49457,0.42178,0.86064,0.9878,0.95238,0.97896,0.90513,0.33078,0.24145,0.80965,0.0067,0.0067,0.0067
42,4194.22,0.49713,0.43169,0.87009,0.99085,0.95515,0.98004,0.90828,0.32805,0.23801,0.80897,0.0066175,0.0066175,0.0066175
43,4268.79,0.48636,0.42037,0.85963,0.98852,0.95724,0.97951,0.90831,0.32474,0.23651,0.80766,0.006535,0.006535,0.006535
44,4343.69,0.4877,0.42319,0.86873,0.9887,0.95976,0.98002,0.91059,0.32262,0.23252,0.80747,0.0064525,0.0064525,0.0064525
45,4418.03,0.48371,0.41394,0.86377,0.98478,0.9602,0.97911,0.90957,0.3206,0.23132,0.80642,0.00637,0.00637,0.00637
46,4493.1,0.47869,0.40916,0.86304,0.98717,0.95955,0.98079,0.91464,0.31418,0.22813,0.8057,0.0062875,0.0062875,0.0062875
47,4567.89,0.47342,0.40727,0.85947,0.9903,0.95805,0.98142,0.91233,0.31452,0.22558,0.80589,0.006205,0.006205,0.006205
48,4642.78,0.47334,0.39886,0.85762,0.99033,0.96204,0.98193,0.91542,0.30968,0.22235,0.80384,0.0061225,0.0061225,0.0061225
49,4717.27,0.46798,0.39831,0.85858,0.98726,0.96594,0.98185,0.91636,0.30654,0.22011,0.80314,0.00604,0.00604,0.00604
50,4792.51,0.46833,0.39551,0.85903,0.98983,0.9627,0.9828,0.91938,0.30251,0.21904,0.80286,0.0059575,0.0059575,0.0059575
51,4867.23,0.46558,0.39684,0.8577,0.98638,0.96664,0.9825,0.92,0.29915,0.21643,0.80183,0.005875,0.005875,0.005875
52,4941.94,0.45993,0.38788,0.85379,0.98857,0.96433,0.9827,0.91907,0.29594,0.21354,0.80038,0.0057925,0.0057925,0.0057925
53,5016.72,0.46187,0.39167,0.85726,0.98858,0.96838,0.9837,0.92286,0.29579,0.21069,0.80023,0.00571,0.00571,0.00571
54,5091.33,0.45623,0.38507,0.85391,0.98773,0.97075,0.9842,0.92176,0.29418,0.2103,0.79989,0.0056275,0.0056275,0.0056275
55,5165.8,0.4519,0.37695,0.85243,0.99222,0.9662,0.98395,0.92196,0.29278,0.20816,0.79956,0.005545,0.005545,0.005545
56,5240.21,0.4537,0.38097,0.85511,0.98671,0.97068,0.98428,0.92325,0.29002,0.20796,0.79891,0.0054625,0.0054625,0.0054625
57,5315.3,0.44938,0.37378,0.8501,0.99014,0.97004,0.98435,0.92516,0.28624,0.20424,0.79777,0.00538,0.00538,0.00538
58,5389.9,0.45086,0.38026,0.85364,0.99171,0.96916,0.98406,0.92567,0.28463,0.20256,0.79735,0.0052975,0.0052975,0.0052975
59,5464.52,0.44905,0.37755,0.84987,0.99124,0.97099,0.98468,0.9245,0.28485,0.20268,0.7968,0.005215,0.005215,0.005215
60,5539.48,0.44415,0.3696,0.84962,0.99214,0.96811,0.98479,0.92648,0.28176,0.20036,0.79629,0.0051325,0.0051325,0.0051325
61,5614.48,0.44339,0.36708,0.85018,0.99134,0.97005,0.98491,0.92792,0.27968,0.19939,0.79606,0.00505,0.00505,0.00505
62,5689.18,0.43636,0.36114,0.84887,0.99193,0.96918,0.98503,0.92779,0.2786,0.19877,0.79583,0.0049675,0.0049675,0.0049675
63,5763.78,0.43811,0.36331,0.8466,0.99162,0.97116,0.98537,0.92861,0.27559,0.19573,0.7948,0.004885,0.004885,0.004885
64,5838.07,0.43322,0.36114,0.84986,0.99278,0.96959,0.98517,0.92808,0.27393,0.1946,0.79476,0.0048025,0.0048025,0.0048025
65,5912.96,0.43685,0.36434,0.84911,0.99275,0.97145,0.98576,0.92939,0.27282,0.19354,0.79428,0.00472,0.00472,0.00472
66,5987.66,0.43309,0.35653,0.84683,0.99296,0.97132,0.98552,0.93048,0.27135,0.19295,0.79404,0.0046375,0.0046375,0.0046375
67,6062.24,0.43011,0.35659,0.84929,0.9939,0.97137,0.98605,0.93119,0.26892,0.19098,0.79378,0.004555,0.004555,0.004555
68,6136.98,0.42522,0.34623,0.84567,0.99358,0.97263,0.98644,0.93114,0.26842,0.18966,0.79345,0.0044725,0.0044725,0.0044725
69,6211.75,0.42288,0.34426,0.84634,0.99322,0.97227,0.98618,0.93191,0.26582,0.18834,0.7931,0.00439,0.00439,0.00439
70,6286.34,0.42185,0.34931,0.84456,0.99232,0.97305,0.98621,0.93335,0.26512,0.18703,0.79277,0.0043075,0.0043075,0.0043075
71,6360.92,0.42111,0.34805,0.84587,0.99249,0.97308,0.98624,0.93368,0.26379,0.18687,0.79252,0.004225,0.004225,0.004225
72,6435.57,0.41647,0.34054,0.84411,0.99348,0.97214,0.98653,0.93413,0.26238,0.18562,0.79187,0.0041425,0.0041425,0.0041425
73,6510.39,0.42016,0.34256,0.84343,0.99517,0.97134,0.98645,0.93383,0.26108,0.18435,0.79141,0.00406,0.00406,0.00406
74,6585.24,0.40978,0.33478,0.83954,0.99566,0.97109,0.98665,0.93524,0.25954,0.18331,0.79095,0.0039775,0.0039775,0.0039775
75,6659.88,0.41425,0.34089,0.84319,0.99518,0.97175,0.98671,0.93507,0.25759,0.18168,0.79053,0.003895,0.003895,0.003895
76,6734.95,0.40957,0.33673,0.84133,0.99592,0.97177,0.987,0.93487,0.2563,0.18034,0.79029,0.0038125,0.0038125,0.0038125
77,6809.55,0.4077,0.32858,0.8393,0.99336,0.9756,0.98689,0.93577,0.25494,0.17986,0.79002,0.00373,0.00373,0.00373
78,6884.45,0.40972,0.32756,0.83943,0.99296,0.97491,0.98667,0.93602,0.25388,0.17896,0.78979,0.0036475,0.0036475,0.0036475
79,6959.3,0.40067,0.33258,0.83972,0.99104,0.97632,0.98678,0.93659,0.25295,0.17817,0.78952,0.003565,0.003565,0.003565
80,7034.1,0.40531,0.32739,0.83657,0.99183,0.97617,0.98691,0.93704,0.25179,0.17778,0.78927,0.0034825,0.0034825,0.0034825
81,7108.85,0.39708,0.32125,0.83804,0.99135,0.97725,0.98696,0.9376,0.25103,0.177,0.78889,0.0034,0.0034,0.0034
82,7183.48,0.40474,0.32687,0.84025,0.99187,0.97644,0.98709,0.93757,0.24985,0.17556,0.78869,0.0033175,0.0033175,0.0033175
83,7258.5,0.39441,0.323,0.83654,0.99198,0.9761,0.98712,0.9389,0.24861,0.17478,0.78843,0.003235,0.003235,0.003235
84,7333.35,0.39344,0.32014,0.8337,0.99302,0.97644,0.98748,0.93875,0.24731,0.17431,0.78811,0.0031525,0.0031525,0.0031525
85,7407.96,0.39037,0.31587,0.83502,0.99259,0.97563,0.98758,0.93899,0.24669,0.17346,0.78785,0.00307,0.00307,0.00307
86,7482.44,0.38948,0.31178,0.83298,0.99419,0.97587,0.98745,0.93952,0.24602,0.1733,0.78763,0.0029875,0.0029875,0.0029875
87,7557.44,0.38657,0.31501,0.83619,0.99472,0.9753,0.98751,0.94016,0.24497,0.17219,0.78747,0.002905,0.002905,0.002905
