epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,954.282,2.99016,9.63928,3.92005,0.1266,0.07331,0.02231,0.01015,2.08169,3.87208,2.80496,0.00332809,0.00332809,0.00332809
2,1078.93,1.68108,6.01404,2.12108,0.10347,0.21921,0.05009,0.02945,1.37721,4.09398,1.8756,0.00659548,0.00659548,0.00659548
3,1201.61,1.32227,4.58581,1.65118,0.18212,0.37856,0.15082,0.11144,1.06739,2.58531,1.4814,0.00979686,0.00979686,0.00979686
4,1324,1.16456,3.18596,1.46278,0.29246,0.45366,0.29286,0.22616,0.92363,2.63493,1.34399,0.009703,0.009703,0.009703
5,1446.03,1.08524,2.36562,1.38728,0.41756,0.5149,0.47344,0.37474,0.87149,1.77468,1.32355,0.009604,0.009604,0.009604
6,1568.17,1.03736,1.99683,1.3574,0.51751,0.59114,0.59758,0.47179,0.86445,1.59357,1.33117,0.009505,0.009505,0.009505
7,1690.02,0.99197,1.73524,1.32791,0.69037,0.61907,0.69446,0.557,0.82187,1.32314,1.27869,0.009406,0.009406,0.009406
8,1812.18,0.95506,1.52172,1.29727,0.77096,0.63958,0.75469,0.61157,0.76323,1.16192,1.23793,0.009307,0.009307,0.009307
9,1934.22,0.90826,1.35605,1.26413,0.85265,0.70578,0.83408,0.68744,0.71227,1.01798,1.20258,0.009208,0.009208,0.009208
10,2056.27,0.87239,1.23768,1.23156,0.86042,0.75231,0.8581,0.70831,0.70418,0.92645,1.17101,0.009109,0.009109,0.009109
11,2177.95,0.85283,1.17475,1.2202,0.84487,0.77412,0.87138,0.73006,0.66624,0.88158,1.14532,0.00901,0.00901,0.00901
12,2299.93,0.83068,1.10377,1.1975,0.8821,0.79132,0.89322,0.76008,0.62133,0.80269,1.11469,0.008911,0.008911,0.008911
13,2422.4,0.80735,1.04093,1.17682,0.88101,0.82391,0.90559,0.76696,0.621,0.74027,1.10961,0.008812,0.008812,0.008812
14,2544.06,0.79054,0.99518,1.16538,0.90472,0.80975,0.91403,0.78236,0.59927,0.73346,1.07583,0.008713,0.008713,0.008713
15,2666.23,0.77917,0.96527,1.15419,0.92832,0.82334,0.92294,0.78953,0.59603,0.68911,1.07586,0.008614,0.008614,0.008614
16,2787.93,0.76078,0.93772,1.13789,0.92104,0.85247,0.93399,0.80709,0.56779,0.64537,1.05243,0.008515,0.008515,0.008515
17,2910.06,0.75967,0.91025,1.13312,0.936,0.85241,0.93822,0.81441,0.55833,0.64438,1.04923,0.008416,0.008416,0.008416
18,3031.76,0.74625,0.88807,1.1304,0.94259,0.85762,0.94298,0.80987,0.57242,0.61142,1.0444,0.008317,0.008317,0.008317
19,3153.83,0.73829,0.87768,1.11886,0.94604,0.86688,0.94797,0.83205,0.52298,0.58212,1.01751,0.008218,0.008218,0.008218
20,3275.42,0.73349,0.85805,1.11328,0.93878,0.87969,0.94922,0.83429,0.51699,0.5693,1.01218,0.008119,0.008119,0.008119
21,3397.35,0.71326,0.82596,1.09918,0.9453,0.8902,0.95609,0.83783,0.52441,0.56145,1.01817,0.00802,0.00802,0.00802
22,3519.08,0.70442,0.80882,1.09466,0.95299,0.88756,0.9582,0.84857,0.49715,0.54775,0.99284,0.007921,0.007921,0.007921
23,3640.84,0.70406,0.7993,1.09072,0.95444,0.88872,0.96095,0.84987,0.49684,0.52548,0.99602,0.007822,0.007822,0.007822
24,3762.76,0.69308,0.77969,1.08146,0.95654,0.89453,0.96264,0.8559,0.48515,0.51228,0.98126,0.007723,0.007723,0.007723
25,3884.67,0.68662,0.77239,1.07433,0.95471,0.91486,0.96716,0.85946,0.48467,0.50519,0.98184,0.007624,0.007624,0.007624
26,4006.22,0.68545,0.75902,1.07605,0.9593,0.90943,0.96753,0.86169,0.48281,0.49613,0.98204,0.007525,0.007525,0.007525
27,4128.31,0.67591,0.74029,1.07075,0.96563,0.91627,0.96888,0.86449,0.47042,0.48215,0.96985,0.007426,0.007426,0.007426
28,4249.93,0.66333,0.71613,1.0621,0.96527,0.91071,0.97162,0.87265,0.46055,0.46999,0.96332,0.007327,0.007327,0.007327
29,4371.8,0.66394,0.71571,1.0585,0.97069,0.92476,0.97384,0.87069,0.46313,0.46052,0.96394,0.007228,0.007228,0.007228
30,4493.53,0.65814,0.71609,1.05228,0.96729,0.9228,0.97524,0.87607,0.45219,0.45219,0.95522,0.007129,0.007129,0.007129
31,4615.35,0.65305,0.70604,1.05517,0.97161,0.92997,0.97478,0.87919,0.44527,0.44397,0.95239,0.00703,0.00703,0.00703
32,4737,0.64685,0.69001,1.04683,0.97436,0.93168,0.97692,0.88088,0.4422,0.43575,0.94919,0.006931,0.006931,0.006931
33,4859.08,0.64395,0.68467,1.04736,0.97722,0.93192,0.97806,0.88294,0.43673,0.42942,0.94428,0.006832,0.006832,0.006832
34,4980.64,0.63998,0.66884,1.04098,0.97007,0.93509,0.9767,0.88663,0.42805,0.42546,0.94379,0.006733,0.006733,0.006733
35,5102.48,0.63535,0.6679,1.03971,0.97169,0.93911,0.9786,0.88831,0.42753,0.41614,0.93798,0.006634,0.006634,0.006634
36,5224.22,0.62959,0.64928,1.03315,0.97435,0.9417,0.98045,0.8905,0.42413,0.40992,0.93775,0.006535,0.006535,0.006535
37,5346.04,0.61942,0.63668,1.02889,0.9773,0.94516,0.98129,0.8961,0.41389,0.40086,0.92818,0.006436,0.006436,0.006436
38,5467.62,0.62102,0.63583,1.02541,0.9846,0.94452,0.98161,0.89641,0.40864,0.39225,0.92579,0.006337,0.006337,0.006337
39,5589.11,0.61963,0.63911,1.02737,0.97872,0.94839,0.98288,0.89766,0.41276,0.38744,0.92649,0.006238,0.006238,0.006238
40,5711.16,0.61097,0.62249,1.02586,0.97804,0.9512,0.98399,0.89899,0.40452,0.38629,0.924,0.006139,0.006139,0.006139
41,5832.92,0.6081,0.61571,1.01995,0.97918,0.95004,0.9845,0.9039,0.39949,0.38019,0.91907,0.00604,0.00604,0.00604
42,5954.71,0.60956,0.61749,1.02037,0.978,0.95381,0.98422,0.9043,0.39541,0.37385,0.91694,0.005941,0.005941,0.005941
43,6076.22,0.60512,0.59896,1.01839,0.98027,0.95739,0.9846,0.90348,0.3955,0.36938,0.91692,0.005842,0.005842,0.005842
44,6198.16,0.59797,0.60445,1.01515,0.98063,0.9598,0.98585,0.90744,0.38794,0.36506,0.91196,0.005743,0.005743,0.005743
