epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1911.64,0.85317,3.94174,0.95214,0.76989,0.65042,0.76459,0.62837,0.68048,1.01972,0.88963,0.00332809,0.00332809,0.00332809
2,2027.71,0.8002,1.13859,0.94006,0.85815,0.79525,0.8907,0.71794,0.70043,0.78454,0.91575,0.00659548,0.00659548,0.00659548
3,2143.08,0.83087,0.97862,0.97259,0.87699,0.77036,0.87134,0.70177,0.71658,0.76062,0.95662,0.00979686,0.00979686,0.00979686
4,2258.35,0.82984,0.90048,0.98527,0.90865,0.82916,0.9055,0.74886,0.65305,0.60997,0.92866,0.009703,0.009703,0.009703
5,2373.34,0.77848,0.76292,0.96383,0.9397,0.85167,0.9288,0.78198,0.59738,0.52693,0.90709,0.009604,0.009604,0.009604
6,2488.58,0.73088,0.67727,0.94463,0.9487,0.86133,0.93862,0.79359,0.57558,0.4871,0.89759,0.009505,0.009505,0.009505
7,2604.25,0.70522,0.62241,0.94391,0.94659,0.89157,0.94824,0.81365,0.53883,0.43275,0.88255,0.009406,0.009406,0.009406
8,2719.24,0.67622,0.59573,0.92811,0.95021,0.89387,0.94943,0.81152,0.55006,0.41845,0.87718,0.009307,0.009307,0.009307
9,2834.22,0.65366,0.55792,0.92055,0.96921,0.90535,0.95884,0.8376,0.49305,0.38074,0.86917,0.009208,0.009208,0.009208
10,2949.29,0.63032,0.52185,0.90962,0.96255,0.92415,0.96317,0.84631,0.47626,0.35558,0.8557,0.009109,0.009109,0.009109
11,3064.67,0.61319,0.50615,0.90511,0.97134,0.93219,0.97026,0.85921,0.46146,0.33715,0.85094,0.00901,0.00901,0.00901
12,3179.84,0.60404,0.48644,0.90288,0.97286,0.93511,0.97049,0.85597,0.46272,0.3299,0.85371,0.008911,0.008911,0.008911
13,3295.04,0.58898,0.465,0.89388,0.96685,0.93563,0.96959,0.86349,0.44226,0.32379,0.84686,0.008812,0.008812,0.008812
14,3410.3,0.58021,0.45129,0.88925,0.981,0.93605,0.97405,0.86998,0.43694,0.3002,0.84341,0.008713,0.008713,0.008713
15,3525.15,0.56771,0.44033,0.89035,0.97766,0.94558,0.97611,0.87645,0.41401,0.29478,0.83762,0.008614,0.008614,0.008614
16,3640.17,0.55886,0.42835,0.8832,0.97448,0.94078,0.97402,0.87942,0.41401,0.29008,0.83575,0.008515,0.008515,0.008515
17,3755.47,0.5533,0.4246,0.88285,0.98352,0.95011,0.97777,0.88546,0.40363,0.27777,0.83163,0.008416,0.008416,0.008416
18,3870.54,0.54078,0.41559,0.88013,0.981,0.95078,0.97994,0.88908,0.39555,0.2791,0.83085,0.008317,0.008317,0.008317
19,3985.42,0.54319,0.41387,0.88253,0.98249,0.94831,0.97943,0.88733,0.39176,0.26795,0.82754,0.008218,0.008218,0.008218
20,4100.46,0.53223,0.40365,0.87646,0.9845,0.95285,0.98065,0.89707,0.37919,0.25728,0.82473,0.008119,0.008119,0.008119
21,4215.3,0.51867,0.39204,0.8709,0.97906,0.95511,0.98038,0.89344,0.3876,0.25916,0.82992,0.00802,0.00802,0.00802
22,4330.02,0.51192,0.38554,0.86846,0.98694,0.96097,0.9825,0.89685,0.37432,0.24972,0.82144,0.007921,0.007921,0.007921
23,4444.96,0.51133,0.38562,0.8692,0.98659,0.95909,0.9821,0.90098,0.37217,0.24783,0.82521,0.007822,0.007822,0.007822
24,4559.83,0.50603,0.36917,0.86902,0.98202,0.958,0.98318,0.89887,0.36739,0.2451,0.82086,0.007723,0.007723,0.007723
25,4674.77,0.50506,0.37487,0.86737,0.98578,0.96054,0.98376,0.90522,0.35391,0.23592,0.81818,0.007624,0.007624,0.007624
26,4789.78,0.50054,0.36768,0.86492,0.98332,0.96352,0.98328,0.91057,0.34742,0.23565,0.81785,0.007525,0.007525,0.007525
27,4905.21,0.48627,0.35969,0.86022,0.98022,0.96757,0.98453,0.91505,0.33704,0.2276,0.81244,0.007426,0.007426,0.007426
28,5020.44,0.48122,0.34993,0.86266,0.98678,0.96943,0.98671,0.91516,0.33407,0.2203,0.81145,0.007327,0.007327,0.007327
29,5135.43,0.4811,0.34825,0.86009,0.98879,0.96765,0.98544,0.91231,0.33528,0.2197,0.81211,0.007228,0.007228,0.007228
30,5250.82,0.483,0.34703,0.85975,0.99114,0.96659,0.98575,0.9169,0.33221,0.21744,0.81217,0.007129,0.007129,0.007129
31,5365.91,0.47066,0.3427,0.85582,0.98754,0.968,0.98682,0.91659,0.33463,0.21628,0.81028,0.00703,0.00703,0.00703
32,5481.28,0.4678,0.33787,0.85537,0.99018,0.97125,0.98761,0.91943,0.32792,0.2116,0.80974,0.006931,0.006931,0.006931
