epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2022.58,3.19776,10.182,4.20726,0.06554,0.0096,0.00143,0.00048,2.56742,5.02592,3.7573,0.00332809,0.00332809,0.00332809
2,2217.68,1.87582,6.58718,2.40285,0.23499,0.25323,0.13095,0.08633,1.35561,2.89143,1.91259,0.00659548,0.00659548,0.00659548
3,2412.07,1.35266,4.32303,1.74481,0.32945,0.39171,0.34857,0.26838,1.06805,2.40772,1.58058,0.00979686,0.00979686,0.00979686
4,2604.93,1.18252,2.73606,1.53326,0.5339,0.51925,0.53522,0.41805,0.92659,1.70854,1.40959,0.009703,0.009703,0.009703
5,2798.04,1.07252,1.94065,1.41166,0.69426,0.60386,0.68143,0.54136,0.84373,1.33322,1.33227,0.009604,0.009604,0.009604
6,2990.85,0.99563,1.55432,1.34399,0.81001,0.68652,0.8032,0.64573,0.79315,1.05254,1.26477,0.009505,0.009505,0.009505
7,3183.65,0.946,1.31623,1.29707,0.84975,0.75381,0.85333,0.68825,0.75497,0.98924,1.21333,0.009406,0.009406,0.009406
8,3376.58,0.90284,1.1792,1.25507,0.90449,0.79236,0.89506,0.7328,0.71229,0.82506,1.18815,0.009307,0.009307,0.009307
9,3569.33,0.85117,1.05577,1.21461,0.91963,0.81632,0.90846,0.76298,0.65932,0.75801,1.13269,0.009208,0.009208,0.009208
10,3761.74,0.82059,0.9865,1.18585,0.92335,0.84219,0.92524,0.77924,0.63957,0.69788,1.1097,0.009109,0.009109,0.009109
11,3954.61,0.79939,0.93281,1.17099,0.93045,0.83248,0.92714,0.79639,0.59383,0.65212,1.07618,0.00901,0.00901,0.00901
12,4147.35,0.77909,0.88792,1.15266,0.93633,0.87493,0.9472,0.80954,0.58205,0.63987,1.05934,0.008911,0.008911,0.008911
13,4340.2,0.75594,0.83586,1.13108,0.95087,0.86697,0.94777,0.80699,0.60035,0.60237,1.09194,0.008812,0.008812,0.008812
14,4532.77,0.74355,0.80059,1.11771,0.95344,0.88387,0.95437,0.82553,0.55715,0.56502,1.03224,0.008713,0.008713,0.008713
15,4725.41,0.73257,0.78222,1.11097,0.95609,0.89805,0.96086,0.83401,0.54232,0.53306,1.03016,0.008614,0.008614,0.008614
16,4918.41,0.71519,0.76297,1.09837,0.95561,0.8963,0.9608,0.83369,0.54284,0.52658,1.02119,0.008515,0.008515,0.008515
17,5111.36,0.70717,0.7425,1.08659,0.96654,0.89781,0.9642,0.84528,0.52206,0.51396,1.00796,0.008416,0.008416,0.008416
18,5303.94,0.69287,0.71899,1.08426,0.96186,0.91562,0.96952,0.85075,0.5096,0.48995,0.99165,0.008317,0.008317,0.008317
19,5496.54,0.69051,0.72178,1.07815,0.9621,0.92476,0.97186,0.84972,0.51685,0.48578,1.00633,0.008218,0.008218,0.008218
20,5689.08,0.68414,0.70213,1.06911,0.96583,0.92536,0.97413,0.85965,0.49137,0.46127,0.98819,0.008119,0.008119,0.008119
21,5881.99,0.66987,0.66936,1.06265,0.96343,0.9247,0.97268,0.86074,0.48555,0.46588,0.97135,0.00802,0.00802,0.00802
22,6074.76,0.66091,0.66015,1.05526,0.96369,0.93578,0.97557,0.8677,0.47135,0.43992,0.96152,0.007921,0.007921,0.007921
23,6267.6,0.65564,0.65018,1.05272,0.96731,0.94161,0.97614,0.87394,0.45907,0.4313,0.95821,0.007822,0.007822,0.007822
24,6460.41,0.64403,0.63827,1.04192,0.97904,0.93238,0.9798,0.87667,0.45803,0.42119,0.95347,0.007723,0.007723,0.007723
25,6653.24,0.6396,0.63002,1.0401,0.97584,0.94115,0.98074,0.88066,0.44932,0.40869,0.9464,0.007624,0.007624,0.007624
26,6846.08,0.63597,0.6223,1.03695,0.97087,0.94241,0.98082,0.88704,0.43941,0.406,0.94121,0.007525,0.007525,0.007525
27,7038.92,0.63003,0.6033,1.03379,0.97106,0.94973,0.98313,0.88918,0.43774,0.39591,0.94105,0.007426,0.007426,0.007426
28,7231.77,0.6204,0.59231,1.02672,0.97497,0.95343,0.98315,0.89175,0.42427,0.38906,0.93143,0.007327,0.007327,0.007327
29,7424.84,0.61347,0.58965,1.02331,0.97961,0.95098,0.98334,0.88827,0.43379,0.38135,0.93405,0.007228,0.007228,0.007228
30,7617.32,0.61188,0.58729,1.01618,0.9813,0.96001,0.98534,0.89336,0.42705,0.37823,0.93311,0.007129,0.007129,0.007129
31,7810.46,0.60412,0.57561,1.01967,0.97223,0.96176,0.98627,0.8951,0.41574,0.36426,0.92135,0.00703,0.00703,0.00703
32,8003.33,0.60165,0.57085,1.0103,0.9777,0.9604,0.98599,0.89963,0.41394,0.36245,0.92185,0.006931,0.006931,0.006931
33,8195.83,0.59945,0.56848,1.01437,0.98349,0.96142,0.98677,0.9031,0.40727,0.35593,0.91679,0.006832,0.006832,0.006832
